Id,StateAbbr,AttorneyUno,City,County,StateName,PostalCode,CreatedUtc
1,NH,7A2C12BE-9F37-4C9D-A6ED-41B916820CE0,Concord,Cheshire,"New Hampshire",03301,"2019-02-14 16:21:52"
2,NH,29A49AA6-047E-4008-ABBD-3DE57156B526,Concord,Merrimack,"New Hampshire",03229,"2019-02-14 18:14:30"
3,MS,9DF11B65-7F29-452C-A69E-54CD72E4A116,Jackson,Rankin,Mississippi,39203,"2016-08-19 17:07:23"
4,VA,693FD55F-5F58-405A-B389-5E78B3406497,Richmond,"Richmond (city)",Virginia,23219,"2016-08-19 18:22:53"
5,CT,0AC2A866-19CD-4D1A-94B7-BF41A1430553,Wethersfield,Hartford,Connecticut,06410,"2016-08-21 01:21:13"
6,LA,231AB5DE-6431-4BAE-BAC3-0E453BFD7062,Covington,"St. Tammany Parish",Louisiana,70433,"2016-08-16 19:45:15"
7,MS,0FAD5B41-848C-40E9-A57F-9AFF731D4993,Jackson,Hinds,Mississippi,39207,"2016-08-22 21:51:32"
8,VA,0D0CF105-0EA8-4A0B-966E-B291AB00186E,Richmond,"Richmond city",Virginia,23220,"2016-08-22 14:48:23"
9,AR,3AFFD9E0-2246-4125-ABB0-76A5BBBFE88A,"Little Rock",Pulaski,Arkansas,72212,"2016-08-25 14:04:46"
10,CT,2C68DD67-A823-42DD-A645-D5549652CDC7,"New Haven ","New Haven",Connecticut,06511,"2016-08-23 15:28:23"
11,LA,D3C78D34-1A3A-4E1A-B2A0-7F10D2F603E1,Ruston,Lincoln,Louisiana,71270,"2016-08-16 20:14:09"
12,MI,2180B56F-642E-461F-92FE-7EEE0F4D9E41,Lansing,Ingham,Michigan,48933,"2016-11-16 19:43:59"
13,VA,74B15243-2169-4062-BDF3-C7A24748B21B,"Falls Church",Fairfax,Virginia,22042,"2016-08-22 15:24:33"
14,WY,323CC3D0-917D-4F86-80FD-5F8564194A2E,Cheyenne,Laramie,Wyoming,82002,"2016-08-16 17:17:25"
15,LA,8EA03754-959A-4796-98E0-786F8A9D1634,Metairie,Orleans,Louisiana,70001,"2016-08-17 20:49:31"
16,VA,388B0EEE-C069-4D40-B2E8-DDD6ECC5705B,Fredericksburg,"Fredericksburg (city)",Virginia,22401,"2016-08-22 15:27:25"
17,WY,3D640E99-3E0A-4E28-91D3-E49AE63B4041,Cheyenne,Laramie,Wyoming,82009,"2016-08-16 22:19:47"
18,LA,E2405E73-AC13-4658-AA7B-4AAE29F415E0,Metairie,Orleans,Louisiana,70002,"2016-08-17 21:35:28"
19,NY,63B0EE10-CA71-4516-9724-F8A2E952CC02,Rochester,Monroe,"New York",14614,"2016-08-16 17:29:11"
20,VA,1586CD6E-A187-454C-AD69-EB3D828A0ED0,Washington,Fairfax,Virginia,20009,"2016-08-22 15:30:57"
21,WY,A09521AB-99A7-4A18-B891-9719D9259B4F,Jackson,Teton,Wyoming,83001,"2016-08-17 15:34:05"
22,CT,C48D01B2-71C7-4894-BB68-2D6E33E2C4E0,"Hartford ",Hartford,Connecticut,06106,"2016-08-26 12:37:05"
23,GA,870474DA-A45E-4268-BB3A-65FCD1450740,Dallas,Paulding,Georgia,30157,"2016-09-06 16:02:04"
24,KS,502581C7-ADF1-46AD-AD13-9E47E849902E,Topeka,Shawnee,Kansas,66612,"2016-09-26 19:46:08"
25,MA,E88BD01A-F9A4-43E9-8122-5A013C399F11,boston,Suffolk,Massachusetts,02108,"2016-09-06 20:53:06"
26,VA,BC728FFE-6913-4FB8-9B37-CA284E1EAF99,Richmond,"Richmond (city)",Virginia,23221,"2016-08-22 15:31:51"
27,WY,A33991B0-5D0D-4B8B-9430-5DEF4C6EE17E,Evanston,Uinta,Wyoming,82930,"2016-08-17 15:41:49"
28,AK,E4B3C885-B962-4051-9B59-2EC528AEB915,Anchorage,"Anchorage Municipality",Alaska,99501,"2016-09-12 19:02:19"
29,GA,4C41A116-8E0B-4133-BFD7-94C399B44FBD,Atlanta,Fulton,Georgia,30309,"2016-09-29 18:19:05"
30,KS,C07D893E-02A4-488A-BA03-6D2CFD489C92,lawrence,Douglas,Kansas,66044,"2016-09-28 16:06:31"
31,LA,CAFE2C3D-3E6B-488B-8FA5-DA54489DCD9A,"New Orleans",Orleans,Louisiana,70130,"2016-08-21 22:10:41"
32,MA,DC01C781-98EF-44B0-B4C5-73089BD24E90,Northampton,Hampden,Massachusetts,01060,"2016-09-14 16:19:22"
33,MD,4655BA6F-FFE5-487D-AB49-40A4EC2311B1,Baltimore,"Baltimore city",Maryland,21201,"2016-10-03 18:43:19"
34,MO,F3384817-1C50-466D-9868-2272C329E049,Edwardsville,"St. Louis city",Missouri,62025,"2016-09-23 16:43:34"
35,NE,D16176CF-5275-4F8C-89A3-36A8F1D81C4D,Lincoln,Lancaster,Nebraska,68520,"2016-09-21 20:56:22"
36,NY,AE87E8FF-03BF-4808-A11D-FC9D1C4BA80B,Albany,Albany,"New York",12206,"2016-08-19 18:40:36"
37,TX,78608A0C-9EFC-4F6D-A4B8-48744EADDB8D,Dallas,Dallas,Texas,75025,"2016-10-13 19:51:51"
